Text,pred_label,prob_informative,prob_uninformative,keyword_score,matched_keywords,final_score,alert_level,alert_rank
Fox Business' Lou Dobbs Self-Quarantines After Staffer Tests Positive For COVID-19 HTTPURL,INFORMATIVE,0.6267901137371271,0.3732098862628729,1,{'testing_quarantine': ['tests']},5,MEDIUM,2
"Results from UVRI showed the sample is positive for COVID-19. The confirmed case had travelled to Dubai on the 17th of Mar, 2020 (4 days ago) for a business trip. At the time of his travel, he was in gd health. He is a resident of Kibuli, Kakungulu zone, Kla.",INFORMATIVE,0.9096451776284931,0.09035482237150694,2,{'case_growth': ['confirmed']},7,MEDIUM,2
"Today or tomorrow, the number of #COVIDー19 cases globally will exceed 1 million. Now here’s the scary thing if you’re American: nearly 10% of those 1m cases are in New York. HTTPURL",UNINFORMATIVE,0.28906048633728276,0.7109395136627172,2,{'case_growth': ['cases']},2,LOW,1
Ramsey County veterans experiencing negative financial impacts from COVID-19 can apply for a one-time financial relief grant funded by the Minnesota Legislature. @USER Learn more: HTTPURL HTTPURL,UNINFORMATIVE,0.24409344557030888,0.7559065544296911,0,{},0,LOW,1
"The #Covid19 death rate in New Orleans is 7x higher than that in New York. Diabetes, high blood pressure, and obesity occur at higher rates in New Orleans, making people more vulnerable to severe illness. HTTPURL",UNINFORMATIVE,0.35729527907929537,0.6427047209207046,3,{'death_severity': ['death']},3,LOW,1
"Wats ur target Mr @USER oder dan #BajaoThali &amp;lighting candles?U need 2 see sum psychotherapist.Made poor ppl homeless,sum die walking,u dun ""UK government sets goal of reaching 100,000 tests for coronavirus per day by the end of April"" #COVID19 HTTPURL",UNINFORMATIVE,0.19345770576609223,0.8065422942339078,1,{'testing_quarantine': ['tests']},1,LOW,1
"COVID-19: Delhi hospitals to run out of PPE kits in 2-3 days; 50,000 kits required after spike in cases. HTTPURL",UNINFORMATIVE,0.42064672304720285,0.5793532769527971,5,"{'case_growth': ['cases', 'spike'], 'medical_system': ['hospitals']}",3,LOW,1
@USER “Who remembers the coronavirus 😂” - some spicer 6 month after the outbreak ends,UNINFORMATIVE,0.13934974224957453,0.8606502577504255,1,{'symptoms_infection': ['outbreak']},1,LOW,1
"@USER @USER That's correct! The new CDC guiltiness ENCOURAGE &amp; promote OVER-COUNTING of #COVID19 deaths! Add to this the financial incentives provided to hospitals for having COVID19 patients on record ($13,000 per hospitalization and $39,000 per ventilator patient) and you get the pic.!",UNINFORMATIVE,0.3893617005268679,0.6106382994731321,6,"{'death_severity': ['deaths'], 'medical_system': ['hospitals', 'ventilator']}",3,LOW,1
"@USER @USER He also lied about the number of dead Americans from H1N1. Trump claimed 17K when it was 12.5K... because right now we are at 10,783 dead from COVID-19. I archived the CDC page in case Jared tries to change it. HTTPURL",UNINFORMATIVE,0.4092244889258624,0.5907755110741376,3,{'death_severity': ['dead']},3,LOW,1
Currently taking part on a 23 person webinar on Africa’s response to COVID-19 and what it is waking us up to just in case you were wondering how my evening is going. Beautiful views coming through... 👌🏾,UNINFORMATIVE,0.2785089982059149,0.7214910017940851,0,{},0,LOW,1
"10,356 cases so far 😢 NYS Sees More Than 3,200 New COVID-19 Cases; NJ Awaits ‘Major Announcement’ from Murphy – NBC New York HTTPURL",INFORMATIVE,0.7543468311444611,0.24565316885553887,2,{'case_growth': ['cases']},6,MEDIUM,2
Have you recently recovered from the coronavirus? If so Shepheard Bllod Center needs your help. HTTPURL,UNINFORMATIVE,0.1952391154237162,0.8047608845762838,0,{},0,LOW,1
"Anybody in nigeria that steals the provision or money that is to be used for this COVID-19 case Ogun will kill you Asap, That money will be the end of you, you will die this night!! 🙄🙄🙄",UNINFORMATIVE,0.05729681059180425,0.9427031894081958,0,{},0,LOW,1
"2 coronavirus cases, including child under 5, confirmed in Cortland County NY HTTPURL",INFORMATIVE,0.8754823605827778,0.12451763941722212,2,"{'case_growth': ['confirmed', 'cases']}",7,MEDIUM,2
⚠️🇵🇰 PAKISTAN: Early Signs that Pakistan is at the beginning of Italy's #COVID19 Growth Curve (Khuda na kare) ⚠️🇵🇰 734 total #coronavirus cases ⬆️+233/24hrs #COVID19PK #CoronaVirusPakistan cc @USER,UNINFORMATIVE,0.4573191775007528,0.5426808224992472,2,{'case_growth': ['cases']},2,LOW,1
New presumptive case of COVID-19 identified in N.S. HTTPURL HTTPURL,INFORMATIVE,0.8559568142131325,0.14404318578686745,0,{},5,MEDIUM,2
