Text,m1_label,m1_confidence,m2_label,m2_confidence,final_label,m1_probabilities,m2_probabilities
"@USER Hi Cole, I’m also anxious, I’m doing a podcast called HTTPURL @USER it’s about taking people away from coronavirus news, looking at mental health, uplifting storytelling and music. It’s giving me somthing positive to do to try and help others.",UNINFORMATIVE,0.901754,-,-,UNINFORMATIVE,"{'UNINFORMATIVE': 0.9017536044120789, 'INFORMATIVE': 0.09824642539024353}",-
ICYMI: South Korea's efforts to quarantine and burn potentially infected bank notes reflects growing concerns about cash's ability to spread the coronavirus HTTPURL via @USER,UNINFORMATIVE,0.853506,-,-,UNINFORMATIVE,"{'UNINFORMATIVE': 0.8535063862800598, 'INFORMATIVE': 0.14649362862110138}",-
@USER Board is now having an online meeting today. One of topics is naturally #COVID and its consequences + effects on #HumanRights of deaf people and who use #signlanguages . A message from EUD Board after the meeting. HTTPURL,UNINFORMATIVE,0.973859,-,-,UNINFORMATIVE,"{'UNINFORMATIVE': 0.9738590717315674, 'INFORMATIVE': 0.026140950620174408}",-
Koffi Djidji has revealed that the #Torino squad tested negative for the #COVID19 and said they “can’t wait to be back and everything returns to normal”. #SerieA #Coronavirus HTTPURL HTTPURL,INFORMATIVE,0.652141,Low,0.998752,INFORMATIVE / Low,"{'UNINFORMATIVE': 0.3478591740131378, 'INFORMATIVE': 0.6521408557891846}","{'Low': 0.9987515211105347, 'Medium': 0.0009228844428434968, 'High': 0.0003256361815147102}"
Secretary of Defense Mark Esper defended the removal of Navy Capt. Brett Crozier over his handling of COVID-19 concerns while saying that “only 155 sailors” have tested positive for the virus. HTTPURL # via @USER,INFORMATIVE,0.833887,Medium,0.907648,INFORMATIVE / Medium,"{'UNINFORMATIVE': 0.1661132127046585, 'INFORMATIVE': 0.8338868021965027}","{'Low': 0.06444158405065536, 'Medium': 0.9076483845710754, 'High': 0.027910051867365837}"
"Thread by @USER Exactly one month ago Italy found its first case of #coronavirus. I’ll tell you what happened in only one month. I learn from our mistakes. 1. In the first two weeks, only 11 towns were locked down. At this stage there were onl… HTTPURL",INFORMATIVE,0.682248,High,0.984233,INFORMATIVE / High,"{'UNINFORMATIVE': 0.31775179505348206, 'INFORMATIVE': 0.6822481751441956}","{'Low': 0.014371095225214958, 'Medium': 0.001395544153638184, 'High': 0.9842333197593689}"
". . . anyone with concerns about their health in relation to suspected novel coronavirus, should go to NHS 111 online and follow PHE advice. Information is changing constantly so please visit our statement page and check your uni emails for updates HTTPURL",UNINFORMATIVE,0.935399,-,-,UNINFORMATIVE,"{'UNINFORMATIVE': 0.9353989362716675, 'INFORMATIVE': 0.06460102647542953}",-
"#COVIDー19 ""The entire point of Home Affairs was to unify previously disparate security functions; a tough-as-teak, bespoke super-portfolio dedicated to the task. Hundreds of virus cases &amp; multiple deaths later, all we’ve got is excuses."" @USER HTTPURL",UNINFORMATIVE,0.847597,-,-,UNINFORMATIVE,"{'UNINFORMATIVE': 0.8475966453552246, 'INFORMATIVE': 0.152403324842453}",-
"WATCH: Two Australian stuck in hospital for 17+ days, despite testing negative twice for COVID-19. Also, look inside Mumbai's 'containment zones'. HTTPURL #coronavirus #coronaupdatesindia",INFORMATIVE,0.918825,Low,0.998728,INFORMATIVE / Low,"{'UNINFORMATIVE': 0.08117546141147614, 'INFORMATIVE': 0.9188245534896851}","{'Low': 0.9987276196479797, 'Medium': 0.0006853527738712728, 'High': 0.0005870832246728241}"
I clicked to read on South Africa 's #COVID19 cases and by the time I was done its moved from 200 to 202 with 0 recoveries. HTTPURL,INFORMATIVE,0.898253,Low,0.998958,INFORMATIVE / Low,"{'UNINFORMATIVE': 0.10174693167209625, 'INFORMATIVE': 0.8982531428337097}","{'Low': 0.998957633972168, 'Medium': 0.000775829132180661, 'High': 0.00026652688393369317}"
