demo_id	Id	Text	true_m1_label	true_m2_label	true_final_label	source_split	risk_label_reason
DEMO_001	1241667718002212865	@USER Hi Cole, I’m also anxious, I’m doing a podcast called HTTPURL @USER it’s about taking people away from coronavirus news, looking at mental health, uplifting storytelling and music. It’s giving me somthing positive to do to try and help others.	UNINFORMATIVE	-	UNINFORMATIVE	original_valid	-
DEMO_002	1245688688610287616	ICYMI: South Korea's efforts to quarantine and burn potentially infected bank notes reflects growing concerns about cash's ability to spread the coronavirus HTTPURL via @USER	UNINFORMATIVE	-	UNINFORMATIVE	original_valid	-
DEMO_003	1241320953310842886	@USER Board is now having an online meeting today. One of topics is naturally #COVID and its consequences + effects on #HumanRights of deaf people and who use #signlanguages . A message from EUD Board after the meeting. HTTPURL	UNINFORMATIVE	-	UNINFORMATIVE	original_train	-
DEMO_004	1240184242916728832	Koffi Djidji has revealed that the #Torino squad tested negative for the #COVID19 and said they “can’t wait to be back and everything returns to normal”. #SerieA #Coronavirus HTTPURL HTTPURL	INFORMATIVE	Low	INFORMATIVE / Low	original_test	negative/no confirmed/suspected case
DEMO_005	1247175309851492353	Secretary of Defense Mark Esper defended the removal of Navy Capt. Brett Crozier over his handling of COVID-19 concerns while saying that “only 155 sailors” have tested positive for the virus. HTTPURL # via @USER	INFORMATIVE	Medium	INFORMATIVE / Medium	original_train	informative but not High/Low
DEMO_006	1241763830167998464	Thread by @USER Exactly one month ago Italy found its first case of #coronavirus. I’ll tell you what happened in only one month. I learn from our mistakes. 1. In the first two weeks, only 11 towns were locked down. At this stage there were onl… HTTPURL	INFORMATIVE	High	INFORMATIVE / High	original_train	new/first regional case or death
DEMO_007	1239625083506831360	. . . anyone with concerns about their health in relation to suspected novel coronavirus, should go to NHS 111 online and follow PHE advice. Information is changing constantly so please visit our statement page and check your uni emails for updates HTTPURL	UNINFORMATIVE	-	UNINFORMATIVE	original_train	-
DEMO_008	1245660286343720968	"#COVIDー19 ""The entire point of Home Affairs was to unify previously disparate security functions; a tough-as-teak, bespoke super-portfolio dedicated to the task. Hundreds of virus cases &amp; multiple deaths later, all we’ve got is excuses."" @USER HTTPURL"	UNINFORMATIVE	-	UNINFORMATIVE	original_valid	-
DEMO_009	1246003091318509568	WATCH: Two Australian stuck in hospital for 17+ days, despite testing negative twice for COVID-19. Also, look inside Mumbai's 'containment zones'. HTTPURL #coronavirus #coronaupdatesindia	INFORMATIVE	Low	INFORMATIVE / Low	original_test	negative/no confirmed/suspected case
DEMO_010	1241042711727222786	I clicked to read on South Africa 's #COVID19 cases and by the time I was done its moved from 200 to 202 with 0 recoveries. HTTPURL	INFORMATIVE	Low	INFORMATIVE / Low	original_train	recovery/discharge
DEMO_011	1241733407383715842	Here is the latest info from @USER on the #COVID19 case count in #YQG to date: * 2 confirmed cases * 352 individuals tested * 194 tests pending Anyone returning home from travel outside of Canada must #selfisolate for a period of 14 days. Everyone else, #socialdistance! HTTPURL	INFORMATIVE	Medium	INFORMATIVE / Medium	original_train	informative but not High/Low
DEMO_012	1236102936431861760	As the number of confirmed novel coronavirus (COVID-19) cases increases in the Northwest, PeaceHealth is restricting visitor access at its Northwest Washington and Alaska hospitals. HTTPURL HTTPURL	UNINFORMATIVE	-	UNINFORMATIVE	original_train	-
DEMO_013	1245761350481195009	TY, Jon. This explains why New York City Health in their Daily Data Summary is categorizing any&amp;all deaths as #COVIDー19. See here: HTTPURL This also explains why #CDC lied in '09 &amp; stopped counting the #H1N1 cases, because NONE were found!	UNINFORMATIVE	-	UNINFORMATIVE	original_train	-
DEMO_014	1242172377246494720	Text - H.R.6074 - 116th Congress (2019-2020): Coronavirus Preparedness and Response Supplemental Appropriations Act, 2020 | HTTPURL | Library of Congress HTTPURL	UNINFORMATIVE	-	UNINFORMATIVE	original_test	-
DEMO_015	1235946928770355201	NEWS: The @USER have confirmed the number of #coronavirus cases in the #southwest of England has reached 22. You can find more information and advice on what you can do to stay safe in the link below. (Pic credits: @USER HTTPURL HTTPURL	INFORMATIVE	Low	INFORMATIVE / Low	original_train	prevention/advisory only
DEMO_016	1236161810274938882	Professionals should stand for #FactnotFear. Cruise ship turned away from docking because the Medical Association of Malta threatened an industrial action if is allowed to enter. There are no #COVIDー19 cases in the cruise, which is now heading to Italy. HTTPURL	INFORMATIVE	High	INFORMATIVE / High	original_train	public/high-risk facility affected
DEMO_017	1245951168150290432	@USER @USER @USER #Resist #Resistance #NotDyingForTrump To put a little perspective on things: trump says he'll have done a good job if only 100,000 Americans die from #COVID19. There were about 45,000 Americans who died in the Korean War. There were about 58,000 Americans killed in Vietnam.	UNINFORMATIVE	-	UNINFORMATIVE	original_test	-
DEMO_018	1247547528330895361	"Police book case against 2 sons of the 71-yr-old man who was declared #COVID19 +ve by Stanley Hospital (#Chennai) 1 day after his burial at #Ramanathapuram dist., under Epidemic Diseases Act, TN Public Health Act &amp; Disaster Mgmt Act for ""suppression of facts"". @USER"	INFORMATIVE	High	INFORMATIVE / High	original_train	public/high-risk facility affected
DEMO_019	1236101092766859265	BREAKING &gt;&gt; The Nebraska woman who tested positive for COVID-19 has arrived at the Nebraska Biocontainment Unit at UNMC/Nebraska Med. Full report tonight at 10. HTTPURL	INFORMATIVE	Medium	INFORMATIVE / Medium	original_train	informative but not High/Low
DEMO_020	1236131107248033792	Two of the three confirmed cases of Covid-19 in the Capital are in Parvesh Singh Verma's West Delhi constituency. Wonder what he has to say...	INFORMATIVE	Medium	INFORMATIVE / Medium	original_train	informative but not High/Low
DEMO_021	1241297990469459968	@USER Upstate and CNY hospitals are going broke under your order; doctors and nurses are being laid off. There aren’t the cases that you are seeing in NY, and a simple drug now cures it. You are destroying an economy and saving nobody at this point. #Covid_19	UNINFORMATIVE	-	UNINFORMATIVE	original_train	-
DEMO_022	1241787816713039874	Uganda Has Confirmed Its First Positive Covid-19 Case. The Confirmed Case Is A 36 Year Old Ugandan Male Who Arrived From Dubai Saturday 21 March 2020 Aboard Ethiopian Airlines Plane. Tune in right now on #EbruPrimeTime News for more updates! HTTPURL	INFORMATIVE	High	INFORMATIVE / High	original_valid	new/first regional case or death
DEMO_023	1247004602559541249	The NBA should resume play with only the players who have been cleared from the coronavirus. The Nets would probably dominate with 4 recovered players but Gobert/Mitchell would be a dominant duo	INFORMATIVE	Low	INFORMATIVE / Low	original_test	recovery/discharge
DEMO_024	1241180037820407808	Help UCL find solutions to the challenges that #Coronavirus (#Covid_19) brings, at a pace that would, under normal circumstances, be considered impossible. To find out more about the world-impacting research that is taking place at UCL, visit our website. HTTPURL	UNINFORMATIVE	-	UNINFORMATIVE	original_train	-
DEMO_025	1241322314068684802	"Why is cruise ""industry"" not CLOSED? At least 30 #cruiseships at sea Mar 21 HTTPURL Cuba accepts #COVID19-infected cruise ship #Braemar stranded at sea for weeks HTTPURL Cruise Ship Passengers Describe Chaotic Flight Home HTTPURL"	UNINFORMATIVE	-	UNINFORMATIVE	original_train	-
DEMO_026	1246970731738599425	@USER @USER But no well wishes to so much as one of the hundreds of thousands of Americans who have contracted COVID-19 under Trump's watch? No messages of sympathy to so much as one family of one of the thousands of Americans who have died?	UNINFORMATIVE	-	UNINFORMATIVE	original_valid	-
DEMO_027	1242472043309936640	@USER @USER @USER No, you know who the COVID-19 did help, The Red Sox... I would like to read the investigation findings. Annnnnnd then do the Yankees. After all there's no baseball. So plenty of time to investigate every team.	UNINFORMATIVE	-	UNINFORMATIVE	original_train	-
DEMO_028	1236139333289156609	(CNET News):#Coronavirus updates: Cases spread across US as global total tops 100,000 - #CNET : Here's the latest on the COVID-19 outbreak, with the coronavirus spreading to Pennsylvania, Indiana, Minnesota, Kentucky and Hawaii .. HTTPURL HTTPURL	INFORMATIVE	High	INFORMATIVE / High	original_train	surge/spike/rapid growth
DEMO_029	1245641208849813510	391 persons who visited Markaz Nizamuddin have been traced and quarantined. 11 out of 91 persons who were tested in Bidar are COVID19 positive: Karnataka Chief Minister BS Yediyurappa HTTPURL	INFORMATIVE	Medium	INFORMATIVE / Medium	original_train	informative but not High/Low
DEMO_030	1245701354871382016	From Andamans to Arunachal to border districts of Rajasthan to J&amp;K — the latest positive cases related to Tablighi Jamaat conclave #COVID	INFORMATIVE	Medium	INFORMATIVE / Medium	original_train	informative but not High/Low
DEMO_031	1236094441347092481	Two Microsoft employees were being treated for the coronavirus, a company spokesman said. Microsoft did not close its campus, but it had already advised employees to work from home if possible. Do they live on the Eastside or around Seattle?	INFORMATIVE	Medium	INFORMATIVE / Medium	original_valid	informative but not High/Low
DEMO_032	1241838748981178370	Have heard that an apartment building in Karachi's Clifton area close to Do Talwar has a coronavirus case - but there's no way to verify this since the Govt doesn't give out locations from where people have been infected	UNINFORMATIVE	-	UNINFORMATIVE	original_train	-
DEMO_033	1236098995019120640	83 confirmed cases in California at 5:18 p.m. (78 cases at 10:07 a.m.) 1 confirmed death in California 49 confirmed cases in the Bay Area 8,700 Californians in self-quarantine By CHRONICLE DIGITAL TEAM | LAST UPDATED: March 6, 2020 3:08 p.m. (COVID19)	INFORMATIVE	High	INFORMATIVE / High	original_train	death/fatality
DEMO_034	1245927596405080065	Unfilial Mew visiting Granny during #cny2020. Didn’t know that would be my last visit. I’m guilt stricken and regret not going regularly. Reading about the latest #COVIDー19 death traumatise me. That #leeahmooi contracted 🦠&amp; died one day later. Same age as my Gran. 💀 😔 HTTPURL	INFORMATIVE	High	INFORMATIVE / High	original_test	death/fatality
DEMO_035	1250399402797268998	The government admits to 19 #NHS workers deaths with COVID-19. Elsewhere the number is 52. The very least this inept and feckless government could do is acknowledge those who have died on the front line. Please retweet if you agree #TruthMatters HTTPURL	INFORMATIVE	High	INFORMATIVE / High	original_train	death/fatality
